Character,Points,Rank,Index,Episode
Lancel Lannister,845,1.0,745,6
Tyene Sand,823,2.0,723,6
The High Sparrow,495,3.0,395,6
Samwell Tarly,450,4.0,350,6
Jorah Mormont,418,5.0,318,6
Gilly,356,6.0,256,6
Olenna Tyrell,342,7.0,242,6
Ramsay Bolton,314,8.0,214,6
Malko,301,9.0,201,6
Tyrion Lannister,257,10.0,157,6
Stannis Baratheon,241,11.0,141,6
Petyr Baelish,208,12.0,108,6
Hizdahr zo Loraq,181,13.0,81,6
Daario Naharis,166,14.0,66,6
Daenerys Targaryen,163,15.0,63,6
Ser Bronn,120,16.0,20,6
Walda Bolton,120,16.0,20,6
Myrcella Baratheon,112,18.0,12,6
Theon Greyjoy,93,19.0,-7,6
Cersei Lannister,64,20.0,-56,6
Margaery Tyrell,56,21.0,-78,6
Davos Seaworth,41,22.0,-143,6
Obara Sand,35,23.0,-185,6
Areo Hotah,13,24.0,-669,6
Brienne of Tarth,10,25.0,-900,6
Alliser Thorne,0,26.0,0,6
Arya Stark,0,26.0,0,6
Barristan Selmy,0,26.0,0,6
Bowen Marsh,0,26.0,0,6
Denys Mallister,0,26.0,0,6
Doran Martell,0,26.0,0,6
Eddison Tollett,0,26.0,0,6
Ellaria Sand,0,26.0,0,6
Gregor Clegane,0,26.0,0,6
Grey Worm,0,26.0,0,6
Jaime Lannister,0,26.0,0,6
Janos Slynt,0,26.0,0,6
Jaqen Hghar,0,26.0,0,6
Jon Snow,0,26.0,0,6
Kevan Lannister,0,26.0,0,6
Keyr,0,26.0,0,6
Lhara,0,26.0,0,6
Loboda,0,26.0,0,6
Loras Tyrell,0,26.0,0,6
Lord of Bones,0,26.0,0,6
Mace Tyrell,0,26.0,0,6
Maggy the Frog,0,26.0,0,6
Mance Rayder,0,26.0,0,6
Melisandre,0,26.0,0,6
Meryn Trant,0,26.0,0,6
Missandei,0,26.0,0,6
Myranda,0,26.0,0,6
Nymeria Sand,0,26.0,0,6
Olly,0,26.0,0,6
Pit Announcer,0,26.0,0,6
Podrick Payne,0,26.0,0,6
Pycelle,0,26.0,0,6
Qyburn,0,26.0,0,6
Robin Arryn,0,26.0,0,6
Roose Bolton,0,26.0,0,6
Sansa Stark,0,26.0,0,6
Selyse Baratheon,0,26.0,0,6
Septa Unella,0,26.0,0,6
Shireen Baratheon,0,26.0,0,6
Ternesio Terys,0,26.0,0,6
Tommen Baratheon,0,26.0,0,6
Tormund Giantsbane,0,26.0,0,6
Trystane Martell,0,26.0,0,6
Tycho Nestoris,0,26.0,0,6
Varys,0,26.0,0,6
White Walkers Master,0,26.0,0,6
Yezzan,0,26.0,0,6
Yohn Royce,0,26.0,0,6
