Character,Score,Rank
Maggy the Frog,232,2
Pit Announcer,150,3
Walda Bolton,144,4
Lancel Lannister,129,9
Septa Unella,99,12
Bowen Marsh,65,16
Ternesio Terys,65,18
Mace Tyrell,64,20
Lhara,50,22
Jaime Lannister,32,27
Eddison Tollett,32,25
Yohn Royce,16,33
Malko,10,35
White Walkers Master,9,36
Stannis Baratheon,8,41
Meryn Trant,8,37
Denys Mallister,8,38
Shireen Baratheon,8,39
Loboda,6,42
Janos Slynt,4,45
Barristan Selmy,0,
Podrick Payne,0,
Myranda,0,
Keyr,0,
Tommen Baratheon,0,
Selyse Baratheon,0,
Roose Bolton,0,
Hizdahr zo Loraq,0,
Qyburn,0,
