Character,Points,Rank,Episode
White Walkers Master,504.0,1.0,7
Tormund Giantsbane,496.0,2.0,7
Tyrion Lannister,320.0,3.0,7
Daenerys Targaryen,320.0,3.0,7
Jon Snow,296.0,5.0,7
Arya Stark,160.0,6.0,7
Lord of Bones,144.0,7.0,7
Jorah Mormont,112.0,8.0,7
Qyburn,88.0,9.0,7
Theon Greyjoy,80.0,10.0,7
Cersei Lannister,56.0,11.0,7
Jaqen Hghar,48.0,12.0,7
Samwell Tarly,32.0,13.0,7
Gilly,16.0,14.0,7
Eddison Tollett,16.0,14.0,7
Loboda,16.0,14.0,7
Margaery Tyrell,16.0,14.0,7
Ramsay Bolton,16.0,14.0,7
Walda Bolton,16.0,14.0,7
Kevan Lannister,8.0,20.0,7
Bowen Marsh,0.0,21.0,7
Ternesio Terys,0.0,21.0,7
Septa Unella,0.0,21.0,7
Lhara,0.0,21.0,7
Jaime Lannister,0.0,21.0,7
Lancel Lannister,0.0,21.0,7
Yohn Royce,0.0,21.0,7
Malko,0.0,21.0,7
Mace Tyrell,0.0,21.0,7
Daario Naharis,0.0,21.0,7
Stannis Baratheon,0.0,21.0,7
Pit Announcer,0.0,21.0,7
Denys Mallister,0.0,21.0,7
Shireen Baratheon,0.0,21.0,7
Janos Slynt,0.0,21.0,7
Barristan Selmy,0.0,21.0,7
Podrick Payne,0.0,21.0,7
Myranda,0.0,21.0,7
Keyr,0.0,21.0,7
Tommen Baratheon,0.0,21.0,7
Selyse Baratheon,0.0,21.0,7
Roose Bolton,0.0,21.0,7
Hizdahr zo Loraq,0.0,21.0,7
Meryn Trant,0.0,21.0,7
Yezzan,0.0,21.0,7
Maggy the Frog,0.0,21.0,7
Olly,0.0,21.0,7
Sansa Stark,0.0,21.0,7
Myrcella Baratheon,0.0,21.0,7
Nymeria Sand,0.0,21.0,7
Mance Rayder,0.0,21.0,7
Davos Seaworth,0.0,21.0,7
The High Sparrow,0.0,21.0,7
Olenna Tyrell,0.0,21.0,7
Areo Hotah,0.0,21.0,7
Pycelle,0.0,21.0,7
Melisandre,0.0,21.0,7
Grey Worm,0.0,21.0,7
Gregor Clegane,0.0,21.0,7
Ser Bronn,0.0,21.0,7
Brienne of Tarth,0.0,21.0,7
Tycho Nestoris,0.0,21.0,7
Ellaria Sand,0.0,21.0,7
Robin Arryn,0.0,21.0,7
Trystane Martell,0.0,21.0,7
Tyene Sand,0.0,21.0,7
Alliser Thorne,0.0,21.0,7
Varys,0.0,21.0,7
Loras Tyrell,0.0,21.0,7
Doran Martell,0.0,21.0,7
Obara Sand,0.0,21.0,7
Missandei,0.0,21.0,7
Petyr Baelish,0.0,21.0,7
